instance_class,IBS_forward_bound,IBS_forward_idle,IBS_forward_alpha
20_5,0.003,0.5283304752787521,2.489514873237789,0.0
20_10,0.0,0.38115728363371304,0.9325005673339233,0.0
20_20,0.0,0.3197528879804862,0.5699618369334658,0.0
50_5,0.47,2.3368800993160326,6.21031170316966,0.1250087574513548
50_10,0.51,4.5449613698800295,2.8888370451654963,0.10081894312733539
50_20,0.45,4.798919196827633,1.3620464960608527,0.17291366741985986
100_5,0.99,4.557975359391276,8.700384258442536,-0.14286897557059106
100_10,1.03,7.991998471153698,3.956090900774645,-0.3333099654099983
100_20,1.15,8.843842963661226,1.3075164228727636,-0.2069781909562321
200_10,0.86,10.951921403915925,5.082212331613894,-1.0106373617953355
200_20,0.7,12.733451557225376,0.382176586983282,-1.6563430162856143
500_20,0.63,17.13566614605747,0.7463824072890909,-2.3316283556200945
