name,reference_objective,ALGirtct,shake_ls
TA20_5_0,14033,14033,14033
TA20_5_1,15151,15151,15151
TA20_5_2,13301,13301,13301
TA20_5_3,15447,15447,15447
TA20_5_4,13529,13529,13529
TA20_5_5,13123,13123,13123
TA20_5_6,13548,13548,13548
TA20_5_7,13948,13948,13948
TA20_5_8,14295,14295,14295
TA20_5_9,12943,12943,12943
TA20_10_0,20911,20911,20911
TA20_10_1,22440,22440,22440
TA20_10_2,19833,19833,19833
TA20_10_3,18710,18710,18710
TA20_10_4,18641,18641,18641
TA20_10_5,19245,19245,19245
TA20_10_6,18363,18363,18363
TA20_10_7,20241,20241,20241
TA20_10_8,20330,20330,20330
TA20_10_9,21320,21320,21320
TA20_20_0,33623,33623,33623
TA20_20_1,31587,31587,31587
TA20_20_2,33920,33920,33920
TA20_20_3,31661,31661,31661
TA20_20_4,34557,34557,34557
TA20_20_5,32564,32564,32564
TA20_20_6,32922,32922,32922
TA20_20_7,32412,32412,32412
TA20_20_8,33600,33600,33600
TA20_20_9,32262,32262,32262
TA50_5_0,64802,64802,64802
TA50_5_1,68051,68051,68051
TA50_5_2,63162,63162,63162
TA50_5_3,68226,68226,68226
TA50_5_4,69351,69351,69351
TA50_5_5,66841,66841,66841
TA50_5_6,66253,66253,66253
TA50_5_7,64332,64332,64332
TA50_5_8,62981,62981,62981
TA50_5_9,68770,68770,68770
TA50_10_0,87114,87114,87114
TA50_10_1,82820,82820,82820
TA50_10_2,79931,79931,79931
TA50_10_3,86446,86446,86446
TA50_10_4,86377,86377,86377
TA50_10_5,86587,86587,86587
TA50_10_6,88750,88750,88750
TA50_10_7,86727,86727,86727
TA50_10_8,85441,85441,85441
TA50_10_9,87998,87998,87998
TA50_20_0,125831,125831,125831
TA50_20_1,119247,119247,119247
TA50_20_2,116459,116459,116459
TA50_20_3,120261,120261,120261
TA50_20_4,118184,118184,118184
TA50_20_5,120586,120586,120586
TA50_20_6,122880,122880,122880
TA50_20_7,122489,122489,122489
TA50_20_8,121872,121872,121872
TA50_20_9,123954,123954,123954
TA100_5_0,253266,253167,253167
TA100_5_1,242281,241989,241925
TA100_5_2,237832,237832,237832
TA100_5_3,227738,227738,227522
TA100_5_4,240301,240301,240301
TA100_5_5,232342,232247,232342
TA100_5_6,240366,240366,240366
TA100_5_7,230945,230866,230945
TA100_5_8,247921,247771,247526
TA100_5_9,242933,242933,242933
TA100_10_0,298385,298385,298385
TA100_10_1,274384,273674,273674
TA100_10_2,288114,288114,288114
TA100_10_3,301044,301044,301044
TA100_10_4,284681,284148,284233
TA100_10_5,269686,269686,269686
TA100_10_6,279463,279463,279463
TA100_10_7,290908,290703,290908
TA100_10_8,301970,301970,301970
TA100_10_9,291283,291283,291283
TA100_20_0,365463,365463,365463
TA100_20_1,372449,372001,372449
TA100_20_2,370027,370027,370027
TA100_20_3,372393,372393,372393
TA100_20_4,368915,368915,368915
TA100_20_5,370908,370908,370908
TA100_20_6,373408,373408,373408
TA100_20_7,384525,384525,384525
TA100_20_8,374423,374423,374423
TA100_20_9,379296,379296,379296
TA200_10_0,1046314,1042452,1041023
TA200_10_1,1034195,1028775,1028828
TA200_10_2,1046902,1043631,1042357
TA200_10_3,1030481,1023188,1025564
TA200_10_4,1034027,1028506,1028963
TA200_10_5,1006195,998686,998340
TA200_10_6,1053051,1042570,1042570
TA200_10_7,1044875,1035945,1035915
TA200_10_8,1026137,1015560,1015280
TA200_10_9,1030299,1021633,1021865
TA200_20_0,1227733,1221768,1219341
TA200_20_1,1245271,1231880,1233161
TA200_20_2,1269673,1254822,1259605
TA200_20_3,1238349,1226654,1228027
TA200_20_4,1227214,1215411,1215854
TA200_20_5,1227604,1219698,1218757
TA200_20_6,1243707,1237014,1234330
TA200_20_7,1246123,1233257,1240105
TA200_20_8,1234936,1222431,1220058
TA200_20_9,1250596,1234864,1235113
TA500_20_0,6698656,6562522,6558109
TA500_20_1,6770735,6678713,6679339
TA500_20_2,6739645,6632299,6624644
TA500_20_3,6785991,6633622,6646006
TA500_20_4,6729468,6609322,6587110
TA500_20_5,6724085,6605982,6602685
TA500_20_6,6691468,6576412,6576047
TA500_20_7,6783916,6628915,6629065
TA500_20_8,6711305,6569013,6587638
TA500_20_9,6755722,6614629,6623849
