instance_class,IBS_bi_min_walpha,IBS_bi_min_gap,IGbob_30,wilcoxon_best
20_5,0.0,0.0,0.0,-
20_10,0.0,0.06511949798478979,0.0032509752925877766,-
20_20,0.33573336928426545,0.7159643202508276,0.0,IGbob_30
50_5,0.0772219577115394,0.0,0.0,-
50_10,1.0183423154372657,0.10703474362178038,0.3442574292292977,-
50_20,0.5460219291138155,2.8097794546343935,0.46128070431410384,-
100_5,0.0920172713975416,0.0,0.0,-
100_10,1.177984995445346,0.0,0.03299225288403592,-
100_20,1.6459676764402364,1.2368311828144263,0.6295391562355528,-
200_10,2.2211794509369893,1.0508893745154224,0.03176412799651191,-
200_20,1.8805528668327827,0.9211060139707907,0.6733020048035308,-
500_20,1.472699279139773,0.08857643086234344,0.274143911745949,IBS_bi_min_gap
