instance_class,IBS_bi_min_walpha,IBS_bi_min_gap
100_20,0.271102698193712,0.5552273336625769,1.920639633426373
100_40,0.515307668990594,1.6556661345616628,5.57432712073505
100_60,0.632455452677085,3.035498898014443,6.594334159664099
200_20,0.216515788723352,1.0837583886137385,0.7193574209037801
200_40,0.563391048427174,0.06910738427013477,5.467823088635018
200_60,0.60767669188044,1.5209116863858125,7.447143427655216
300_20,0.202659133478675,1.2036815385725075,0.11597501452310792
300_40,0.527137729800821,-0.5995224918649207,5.412538722427181
300_60,0.658842805535267,0.6556986596133546,7.758603876829248
400_20,0.152277604415582,0.9121979300935508,-0.009761813559344351
400_40,0.471131916936749,-0.842930211797084,5.810277623198979
400_60,0.577162694836487,-0.10823520566428009,8.044730479882668
500_20,0.116428563301871,0.9067947661721147,-0.041980789146110045
500_40,0.545927848995097,-0.6571798832450111,5.121182650117867
500_60,0.408224337977224,-0.605568090789171,7.916923435825451
600_20,0.120605765528383,0.8933404357282146,-0.1020676065275264
600_40,0.497139133190227,-0.517632054711842,4.825869294147456
600_60,0.638045706158767,-1.0091203098602488,7.381682607337341
700_20,0.096313207257237,1.0065768398741444,-0.1134404721351493
700_40,0.418567574515147,-0.39203744197428364,4.139656058085409
700_60,0.553799012432422,-1.2003510596170872,7.695136504767083
800_20,0.067407344993199,0.8205389946896965,-0.07930413020585128
800_40,0.317261944418294,-0.3835066118089867,3.991853718292215
800_60,0.406724511930586,-1.2892722558906975,7.764008165845738
